CensusArea,Age,Population
0801903023,30-34,172
0801903023,35-39,175
0801903023,40-44,167
0801903023,45-49,166
0801903023,50-54,135
0801903023,55-59,116
0801903023,60-64,96
0801903023,65-69,79
0801903023,70-74,65
0801903023,75-79,53
0801903023,80-84,38
0801903023,85-89,28
0801903023,90-94,10
0801903023,95-99,4
0801903023,100,2
0801903024,0-4,65
0801903024,5-9,84
0801903024,10-14,77
0801903024,15-19,83
0801903024,20-24,100
0801903024,25-29,145
0801903024,30-34,201
0801903024,35-39,194
0801903024,40-44,191
0801903024,45-49,196
0801903024,50-54,155
0801903024,55-59,133
0801903024,60-64,114
0801903024,65-69,74
0801903024,70-74,51
0801903024,75-79,50
0801903024,80-84,37
0801903024,85-89,29
0801903024,90-94,18
0801903024,95-99,5
0801903024,100,0
0801903025,0-4,86
0801903025,5-9,105
0801903025,10-14,68
0801903025,15-19,60
0801903025,20-24,81
0801903025,25-29,89
0801903025,30-34,143
0801903025,35-39,178
0801903025,40-44,162
0801903025,45-49,116
0801903025,50-54,121
0801903025,55-59,121
0801903025,60-64,111
0801903025,65-69,88
0801903025,70-74,53
0801903025,75-79,37
0801903025,80-84,19
0801903025,85-89,27
0801903025,90-94,14
0801903025,95-99,2
0801903025,100,0
0801903026,0-4,32
0801903026,5-9,40
0801903026,10-14,43
0801903026,15-19,44
0801903026,20-24,42
0801903026,25-29,44
0801903026,30-34,39
0801903026,35-39,56
0801903026,40-44,64
0801903026,45-49,72
0801903026,50-54,73
0801903026,55-59,63
0801903026,60-64,55
0801903026,65-69,27
0801903026,70-74,49
0801903026,75-79,87
0801903026,80-84,85
0801903026,85-89,56
0801903026,90-94,25
0801903026,95-99,3
0801903026,100,0
0801903027,0-4,45
0801903027,5-9,51
0801903027,10-14,72
0801903027,15-19,122
0801903027,20-24,139
0801903027,25-29,90
0801903027,30-34,81
0801903027,35-39,89
0801903027,40-44,83
0801903027,45-49,123
0801903027,50-54,185
0801903027,55-59,178
0801903027,60-64,110
0801903027,65-69,73
0801903027,70-74,55
0801903027,75-79,74
0801903027,80-84,76
0801903027,85-89,60
0801903027,90-94,33
0801903027,95-99,2
0801903027,100,1
0801903028,0-4,91
0801903028,5-9,143
0801903028,10-14,174
0801903028,15-19,199
0801903028,20-24,135
0801903028,25-29,124
0801903028,30-34,102
0801903028,35-39,161
0801903028,40-44,201
0801903028,45-49,288
0801903028,50-54,260
0801903028,55-59,190
0801903028,60-64,139
0801903028,65-69,90
0801903028,70-74,93
0801903028,75-79,89
0801903028,80-84,61
0801903028,85-89,36
0801903028,90-94,11
0801903028,95-99,1
0801903028,100,0
0801903029,0-4,47
0801903029,5-9,46
0801903029,10-14,48
0801903029,15-19,51
0801903029,20-24,66
0801903029,25-29,81
0801903029,30-34,85
0801903029,35-39,78
0801903029,40-44,94
0801903029,45-49,90
0801903029,50-54,95
0801903029,55-59,111
0801903029,60-64,108
0801903029,65-69,76
0801903029,70-74,25
0801903029,75-79,20
0801903029,80-84,23
0801903029,85-89,47
0801903029,90-94,33
0801903029,95-99,5
0801903029,100,1
0801903030,0-4,39
0801903030,5-9,63
0801903030,10-14,48
0801903030,15-19,66
0801903030,20-24,89
0801903030,25-29,120
0801903030,30-34,116
0801903030,35-39,77
0801903030,40-44,116
0801903030,45-49,108
0801903030,50-54,107
0801903030,55-59,131
0801903030,60-64,146
0801903030,65-69,87
0801903030,70-74,56
0801903030,75-79,45
0801903030,80-84,43
0801903030,85-89,62
0801903030,90-94,37
0801903030,95-99,5
0801903030,100,0
0801903031,0-4,62
0801903031,5-9,88
0801903031,10-14,109
0801903031,15-19,121
0801903031,20-24,112
0801903031,25-29,122
0801903031,30-34,134
0801903031,35-39,132
0801903031,40-44,147
0801903031,45-49,170
0801903031,50-54,177
0801903031,55-59,172
0801903031,60-64,157
0801903031,65-69,213
0801903031,70-74,145
0801903031,75-79,122
0801903031,80-84,66
0801903031,85-89,44
0801903031,90-94,22
0801903031,95-99,9
0801903031,100,0
0801903032,0-4,71
0801903032,5-9,93
0801903032,10-14,113
0801903032,15-19,78
0801903032,20-24,87
0801903032,25-29,85
0801903032,30-34,129
0801903032,35-39,155
0801903032,40-44,142
0801903032,45-49,138
0801903032,50-54,107
0801903032,55-59,92
0801903032,60-64,99
0801903032,65-69,100
0801903032,70-74,73
0801903032,75-79,66
0801903032,80-84,28
0801903032,85-89,37
0801903032,90-94,15
0801903032,95-99,6
0801903032,100,1
0801903033,0-4,70
0801903033,5-9,62
0801903033,10-14,72
0801903033,15-19,69
0801903033,20-24,78
0801903033,25-29,106
0801903033,30-34,109
0801903033,35-39,88
0801903033,40-44,112
0801903033,45-49,118
0801903033,50-54,108
0801903033,55-59,104
0801903033,60-64,68
0801903033,65-69,68
0801903033,70-74,48
0801903033,75-79,67
0801903033,80-84,33
0801903033,85-89,43
0801903033,90-94,18
0801903033,95-99,3
0801903033,100,1
0801903034,0-4,42
0801903034,5-9,47
0801903034,10-14,59
0801903034,15-19,64
0801903034,20-24,92
0801903034,25-29,117
0801903034,30-34,111
0801903034,35-39,84
0801903034,40-44,91
0801903034,45-49,110
0801903034,50-54,99
0801903034,55-59,117
0801903034,60-64,134
0801903034,65-69,117
0801903034,70-74,80
0801903034,75-79,54
0801903034,80-84,35
0801903034,85-89,29
0801903034,90-94,15
0801903034,95-99,1
0801903034,100,0
0801903035,0-4,77
0801903035,5-9,71
0801903035,10-14,72
0801903035,15-19,90
0801903035,20-24,113
0801903035,25-29,158
0801903035,30-34,159
0801903035,35-39,117
0801903035,40-44,148
0801903035,45-49,161
0801903035,50-54,131
0801903035,55-59,148
0801903035,60-64,219
0801903035,65-69,173
0801903035,70-74,136
0801903035,75-79,121
0801903035,80-84,82
0801903035,85-89,64
0801903035,90-94,27
0801903035,95-99,6
0801903035,100,2
0801903036,0-4,60
0801903036,5-9,96
0801903036,10-14,119
0801903036,15-19,130
0801903036,20-24,153
0801903036,25-29,127
0801903036,30-34,147
0801903036,35-39,148
0801903036,40-44,140
0801903036,45-49,216
0801903036,50-54,211
0801903036,55-59,194
0801903036,60-64,147
0801903036,65-69,135
0801903036,70-74,136
0801903036,75-79,121
0801903036,80-84,52
0801903036,85-89,28
0801903036,90-94,16
0801903036,95-99,2
0801903036,100,2
0801903037,0-4,12
0801903037,5-9,28
0801903037,10-14,31
0801903037,15-19,48
0801903037,20-24,58
0801903037,25-29,79
0801903037,30-34,63
0801903037,35-39,51
0801903037,40-44,42
0801903037,45-49,60
0801903037,50-54,59
0801903037,55-59,119
0801903037,60-64,139
0801903037,65-69,71
0801903037,70-74,49
0801903037,75-79,33
0801903037,80-84,19
0801903037,85-89,10
0801903037,90-94,5
0801903037,95-99,2
0801903037,100,0
0801903038,0-4,33
0801903038,5-9,41
0801903038,10-14,64
0801903038,15-19,55
0801903038,20-24,59
0801903038,25-29,56
0801903038,30-34,46
0801903038,35-39,64
0801903038,40-44,79
0801903038,45-49,80
0801903038,50-54,64
0801903038,55-59,58
0801903038,60-64,48
0801903038,65-69,51
0801903038,70-74,56
0801903038,75-79,35
0801903038,80-84,26
0801903038,85-89,23
0801903038,90-94,10
0801903038,95-99,2
0801903038,100,0
0801903039,0-4,121
0801903039,5-9,119
0801903039,10-14,156
0801903039,15-19,122
0801903039,20-24,146
0801903039,25-29,153
0801903039,30-34,167
0801903039,35-39,186
0801903039,40-44,201
0801903039,45-49,204
0801903039,50-54,167
0801903039,55-59,190
0801903039,60-64,117
0801903039,65-69,92
0801903039,70-74,64
0801903039,75-79,63
0801903039,80-84,77
0801903039,85-89,64
0801903039,90-94,32
0801903039,95-99,3
0801903039,100,1
0801903040,0-4,41
0801903040,5-9,34
0801903040,10-14,39
0801903040,15-19,239
0801903040,20-24,232
0801903040,25-29,82
0801903040,30-34,102
0801903040,35-39,95
0801903040,40-44,76
0801903040,45-49,74
0801903040,50-54,109
0801903040,55-59,112
0801903040,60-64,100
0801903040,65-69,150
0801903040,70-74,122
0801903040,75-79,82
0801903040,80-84,45
0801903040,85-89,36
0801903040,90-94,25
0801903040,95-99,5
0801903040,100,1
0801903041,0-4,54
0801903041,5-9,46
0801903041,10-14,46
0801903041,15-19,57
0801903041,20-24,79
0801903041,25-29,129
0801903041,30-34,117
0801903041,35-39,95
0801903041,40-44,122
0801903041,45-49,89
0801903041,50-54,108
0801903041,55-59,108
0801903041,60-64,74
0801903041,65-69,51
0801903041,70-74,63
0801903041,75-79,60
0801903041,80-84,53
0801903041,85-89,44
0801903041,90-94,25
0801903041,95-99,3
0801903041,100,1
0801903042,0-4,25
0801903042,5-9,42
0801903042,10-14,36
0801903042,15-19,65
0801903042,20-24,71
0801903042,25-29,109
0801903042,30-34,143
0801903042,35-39,97
0801903042,40-44,105
0801903042,45-49,89
0801903042,50-54,115
0801903042,55-59,95
0801903042,60-64,68
0801903042,65-69,70
0801903042,70-74,56
0801903042,75-79,63
0801903042,80-84,41
0801903042,85-89,26
0801903042,90-94,16
0801903042,95-99,0
0801903042,100,2
0801903043,0-4,33
0801903043,5-9,45
0801903043,10-14,44
0801903043,15-19,42
0801903043,20-24,81
0801903043,25-29,121
0801903043,30-34,121
0801903043,35-39,124
0801903043,40-44,100
0801903043,45-49,106
0801903043,50-54,95
0801903043,55-59,102
0801903043,60-64,111
0801903043,65-69,84
0801903043,70-74,80
0801903043,75-79,80
0801903043,80-84,54
0801903043,85-89,56
0801903043,90-94,41
0801903043,95-99,16
0801903043,100,7
0801903044,0-4,55
0801903044,5-9,50
0801903044,10-14,83
0801903044,15-19,63
0801903044,20-24,103
0801903044,25-29,140
0801903044,30-34,191
0801903044,35-39,136
0801903044,40-44,147
0801903044,45-49,152
0801903044,50-54,148
0801903044,55-59,125
0801903044,60-64,111
0801903044,65-69,71
0801903044,70-74,64
0801903044,75-79,74
0801903044,80-84,61
0801903044,85-89,52
0801903044,90-94,15
0801903044,95-99,8
0801903044,100,1
0801903045,0-4,48
0801903045,5-9,47
0801903045,10-14,35
0801903045,15-19,41
0801903045,20-24,49
0801903045,25-29,66
0801903045,30-34,94
0801903045,35-39,102
0801903045,40-44,112
0801903045,45-49,94
0801903045,50-54,88
0801903045,55-59,63
0801903045,60-64,61
0801903045,65-69,43
0801903045,70-74,38
0801903045,75-79,51
0801903045,80-84,32
0801903045,85-89,27
0801903045,90-94,6
0801903045,95-99,3
0801903045,100,0
0801903046,0-4,41
0801903046,5-9,44
0801903046,10-14,29
0801903046,15-19,39
0801903046,20-24,72
0801903046,25-29,102
0801903046,30-34,130
0801903046,35-39,124
0801903046,40-44,125
0801903046,45-49,89
0801903046,50-54,77
0801903046,55-59,87
0801903046,60-64,102
0801903046,65-69,141
0801903046,70-74,140
0801903046,75-79,84
0801903046,80-84,42
0801903046,85-89,20
0801903046,90-94,10
0801903046,95-99,5
0801903046,100,2
0801903047,0-4,59
0801903047,5-9,64
0801903047,10-14,43
0801903047,15-19,65
0801903047,20-24,114
0801903047,25-29,137
0801903047,30-34,188
0801903047,35-39,156
0801903047,40-44,143
0801903047,45-49,137
0801903047,50-54,128
0801903047,55-59,96
0801903047,60-64,104
0801903047,65-69,91
0801903047,70-74,79
0801903047,75-79,57
0801903047,80-84,34
0801903047,85-89,28
0801903047,90-94,20
0801903047,95-99,5
0801903047,100,0
0801903048,0-4,42
0801903048,5-9,31
0801903048,10-14,41
0801903048,15-19,44
0801903048,20-24,58
0801903048,25-29,114
0801903048,30-34,100
0801903048,35-39,123
0801903048,40-44,102
0801903048,45-49,103
0801903048,50-54,65
0801903048,55-59,74
0801903048,60-64,81
0801903048,65-69,124
0801903048,70-74,86
0801903048,75-79,61
0801903048,80-84,39
0801903048,85-89,36
0801903048,90-94,11
0801903048,95-99,3
0801903048,100,0
0801903049,0-4,59
0801903049,5-9,64
0801903049,10-14,54
0801903049,15-19,58
0801903049,20-24,71
0801903049,25-29,122
0801903049,30-34,174
0801903049,35-39,166
0801903049,40-44,142
0801903049,45-49,119
0801903049,50-54,85
0801903049,55-59,96
0801903049,60-64,82
0801903049,65-69,83
0801903049,70-74,90
0801903049,75-79,100
0801903049,80-84,58
0801903049,85-89,28
0801903049,90-94,18
0801903049,95-99,3
0801903049,100,0
0801903050,0-4,56
0801903050,5-9,74
0801903050,10-14,44
0801903050,15-19,46
0801903050,20-24,61
0801903050,25-29,131
0801903050,30-34,190
0801903050,35-39,152
0801903050,40-44,135
0801903050,45-49,123
0801903050,50-54,98
0801903050,55-59,102
0801903050,60-64,109
0801903050,65-69,82
0801903050,70-74,82
0801903050,75-79,59
0801903050,80-84,32
0801903050,85-89,25
0801903050,90-94,15
0801903050,95-99,8
0801903050,100,0
0801903051,0-4,77
0801903051,5-9,78
0801903051,10-14,79
0801903051,15-19,75
0801903051,20-24,127
0801903051,25-29,153
0801903051,30-34,153
0801903051,35-39,155
0801903051,40-44,144
0801903051,45-49,170
0801903051,50-54,157
0801903051,55-59,123
0801903051,60-64,91
0801903051,65-69,63
0801903051,70-74,79
0801903051,75-79,44
0801903051,80-84,26
0801903051,85-89,22
0801903051,90-94,10
0801903051,95-99,3
0801903051,100,2
0801903052,0-4,65
0801903052,5-9,58
0801903052,10-14,40
0801903052,15-19,61
0801903052,20-24,76
0801903052,25-29,130
0801903052,30-34,136
0801903052,35-39,115
0801903052,40-44,124
0801903052,45-49,105
0801903052,50-54,103
0801903052,55-59,80
0801903052,60-64,68
0801903052,65-69,35
0801903052,70-74,37
0801903052,75-79,49
0801903052,80-84,24
0801903052,85-89,26
0801903052,90-94,24
0801903052,95-99,6
0801903052,100,2
0801903053,0-4,81
0801903053,5-9,105
0801903053,10-14,88
0801903053,15-19,82
0801903053,20-24,102
0801903053,25-29,199
0801903053,30-34,207
0801903053,35-39,206
0801903053,40-44,180
0801903053,45-49,190
0801903053,50-54,151
0801903053,55-59,128
0801903053,60-64,107
0801903053,65-69,84
0801903053,70-74,72
0801903053,75-79,57
0801903053,80-84,56
0801903053,85-89,42
0801903053,90-94,28
0801903053,95-99,7
0801903053,100,0
0801903054,0-4,38
0801903054,5-9,45
0801903054,10-14,58
0801903054,15-19,74
0801903054,20-24,69
0801903054,25-29,126
0801903054,30-34,145
0801903054,35-39,109
0801903054,40-44,123
0801903054,45-49,97
0801903054,50-54,98
0801903054,55-59,98
0801903054,60-64,124
0801903054,65-69,135
0801903054,70-74,109
0801903054,75-79,75
0801903054,80-84,43
0801903054,85-89,35
0801903054,90-94,17
0801903054,95-99,5
0801903054,100,1
0801903055,0-4,72
0801903055,5-9,56
0801903055,10-14,31
0801903055,15-19,47
0801903055,20-24,59
0801903055,25-29,126
0801903055,30-34,147
0801903055,35-39,144
0801903055,40-44,124
0801903055,45-49,116
0801903055,50-54,91
0801903055,55-59,91
0801903055,60-64,123
0801903055,65-69,116
0801903055,70-74,77
0801903055,75-79,73
0801903055,80-84,38
0801903055,85-89,27
0801903055,90-94,17
0801903055,95-99,4
0801903055,100,1
0801903056,0-4,28
0801903056,5-9,29
0801903056,10-14,27
0801903056,15-19,42
0801903056,20-24,35
0801903056,25-29,62
0801903056,30-34,88
0801903056,35-39,57
0801903056,40-44,70
0801903056,45-49,85
0801903056,50-54,72
0801903056,55-59,53
0801903056,60-64,45
0801903056,65-69,45
0801903056,70-74,57
0801903056,75-79,69
0801903056,80-84,33
0801903056,85-89,19
0801903056,90-94,9
0801903056,95-99,2
0801903056,100,0
0801903057,0-4,39
0801903057,5-9,50
0801903057,10-14,51
0801903057,15-19,46
0801903057,20-24,63
0801903057,25-29,98
0801903057,30-34,122
0801903057,35-39,121
0801903057,40-44,98
0801903057,45-49,98
0801903057,50-54,66
0801903057,55-59,100
0801903057,60-64,115
0801903057,65-69,108
0801903057,70-74,103
0801903057,75-79,87
0801903057,80-84,42
0801903057,85-89,40
0801903057,90-94,28
0801903057,95-99,7
0801903057,100,0
0801903058,0-4,84
0801903058,5-9,77
0801903058,10-14,72
0801903058,15-19,68
0801903058,20-24,74
0801903058,25-29,93
0801903058,30-34,144
0801903058,35-39,143
0801903058,40-44,154
0801903058,45-49,136
0801903058,50-54,142
0801903058,55-59,106
0801903058,60-64,108
0801903058,65-69,113
0801903058,70-74,65
0801903058,75-79,52
0801903058,80-84,47
0801903058,85-89,54
0801903058,90-94,41
0801903058,95-99,14
0801903058,100,2
0801903059,0-4,39
0801903059,5-9,40
0801903059,10-14,49
0801903059,15-19,56
0801903059,20-24,34
0801903059,25-29,71
0801903059,30-34,99
0801903059,35-39,84
0801903059,40-44,81
0801903059,45-49,87
0801903059,50-54,67
0801903059,55-59,82
0801903059,60-64,79
0801903059,65-69,51
0801903059,70-74,48
0801903059,75-79,55
0801903059,80-84,56
0801903059,85-89,41
0801903059,90-94,18
0801903059,95-99,6
0801903059,100,0
0801903060,0-4,40
0801903060,5-9,42
0801903060,10-14,51
0801903060,15-19,47
0801903060,20-24,75
0801903060,25-29,66
0801903060,30-34,76
0801903060,35-39,94
0801903060,40-44,102
0801903060,45-49,109
0801903060,50-54,106
0801903060,55-59,96
0801903060,60-64,87
0801903060,65-69,103
0801903060,70-74,82
0801903060,75-79,75
0801903060,80-84,51
0801903060,85-89,32
0801903060,90-94,19
0801903060,95-99,5
0801903060,100,0
0801903061,0-4,39
0801903061,5-9,38
0801903061,10-14,36
0801903061,15-19,29
0801903061,20-24,47
0801903061,25-29,70
0801903061,30-34,116
0801903061,35-39,100
0801903061,40-44,99
0801903061,45-49,76
0801903061,50-54,70
0801903061,55-59,77
0801903061,60-64,59
0801903061,65-69,48
0801903061,70-74,38
0801903061,75-79,39
0801903061,80-84,36
0801903061,85-89,51
0801903061,90-94,39
0801903061,95-99,4
0801903061,100,0
0801903062,0-4,53
0801903062,5-9,64
0801903062,10-14,63
0801903062,15-19,66
0801903062,20-24,71
0801903062,25-29,128
0801903062,30-34,118
0801903062,35-39,149
0801903062,40-44,144
0801903062,45-49,127
0801903062,50-54,96
0801903062,55-59,103
0801903062,60-64,91
0801903062,65-69,75
0801903062,70-74,59
0801903062,75-79,57
0801903062,80-84,53
0801903062,85-89,57
0801903062,90-94,25
0801903062,95-99,2
0801903062,100,0
0801903063,0-4,120
0801903063,5-9,143
0801903063,10-14,102
0801903063,15-19,75
0801903063,20-24,90
0801903063,25-29,108
0801903063,30-34,129
0801903063,35-39,210
0801903063,40-44,219
0801903063,45-49,166
0801903063,50-54,129
0801903063,55-59,108
0801903063,60-64,88
0801903063,65-69,60
0801903063,70-74,65
0801903063,75-79,57
0801903063,80-84,41
0801903063,85-89,30
0801903063,90-94,19
0801903063,95-99,5
0801903063,100,2
0801903064,0-4,59
0801903064,5-9,54
0801903064,10-14,73
0801903064,15-19,60
0801903064,20-24,80
0801903064,25-29,114
0801903064,30-34,146
0801903064,35-39,138
0801903064,40-44,107
0801903064,45-49,90
0801903064,50-54,102
0801903064,55-59,100
0801903064,60-64,78
0801903064,65-69,114
0801903064,70-74,79
0801903064,75-79,33
0801903064,80-84,20
0801903064,85-89,27
0801903064,90-94,13
0801903064,95-99,3
0801903064,100,0
0801903065,0-4,40
0801903065,5-9,29
0801903065,10-14,44
0801903065,15-19,47
0801903065,20-24,69
0801903065,25-29,82
0801903065,30-34,91
0801903065,35-39,87
0801903065,40-44,74
0801903065,45-49,70
0801903065,50-54,71
0801903065,55-59,98
0801903065,60-64,178
0801903065,65-69,138
0801903065,70-74,89
0801903065,75-79,49
0801903065,80-84,28
0801903065,85-89,25
0801903065,90-94,9
0801903065,95-99,2
0801903065,100,0
0801903066,0-4,75
0801903066,5-9,84
0801903066,10-14,100
0801903066,15-19,124
0801903066,20-24,133
0801903066,25-29,141
0801903066,30-34,149
0801903066,35-39,146
0801903066,40-44,165
0801903066,45-49,177
0801903066,50-54,205
0801903066,55-59,180
0801903066,60-64,153
0801903066,65-69,148
0801903066,70-74,136
0801903066,75-79,88
0801903066,80-84,56
0801903066,85-89,33
0801903066,90-94,19
0801903066,95-99,6
0801903066,100,2
0801903067,0-4,71
0801903067,5-9,65
0801903067,10-14,55
0801903067,15-19,73
0801903067,20-24,73
0801903067,25-29,103
0801903067,30-34,119
0801903067,35-39,160
0801903067,40-44,133
0801903067,45-49,112
0801903067,50-54,97
0801903067,55-59,105
0801903067,60-64,100
0801903067,65-69,126
0801903067,70-74,108
0801903067,75-79,105
0801903067,80-84,60
0801903067,85-89,43
0801903067,90-94,13
0801903067,95-99,5
0801903067,100,1
0801903068,0-4,41
0801903068,5-9,42
0801903068,10-14,45
0801903068,15-19,37
0801903068,20-24,48
0801903068,25-29,78
0801903068,30-34,89
0801903068,35-39,69
0801903068,40-44,86
0801903068,45-49,97
0801903068,50-54,77
0801903068,55-59,85
0801903068,60-64,61
0801903068,65-69,68
0801903068,70-74,70
0801903068,75-79,78
0801903068,80-84,44
0801903068,85-89,39
0801903068,90-94,15
0801903068,95-99,4
0801903068,100,0
0801903069,0-4,33
0801903069,5-9,51
0801903069,10-14,40
0801903069,15-19,57
0801903069,20-24,49
0801903069,25-29,77
0801903069,30-34,96
0801903069,35-39,73
0801903069,40-44,94
0801903069,45-49,84
0801903069,50-54,67
0801903069,55-59,78
0801903069,60-64,95
0801903069,65-69,85
0801903069,70-74,87
0801903069,75-79,63
0801903069,80-84,47
0801903069,85-89,22
0801903069,90-94,17
0801903069,95-99,2
0801903069,100,0
0801903070,0-4,39
0801903070,5-9,47
0801903070,10-14,32
0801903070,15-19,55
0801903070,20-24,65
0801903070,25-29,102
0801903070,30-34,91
0801903070,35-39,95
0801903070,40-44,102
0801903070,45-49,66
0801903070,50-54,79
0801903070,55-59,77
0801903070,60-64,99
0801903070,65-69,85
0801903070,70-74,90
0801903070,75-79,64
0801903070,80-84,39
0801903070,85-89,26
0801903070,90-94,15
0801903070,95-99,2
0801903070,100,0
0801903071,0-4,61
0801903071,5-9,54
0801903071,10-14,41
0801903071,15-19,46
0801903071,20-24,65
0801903071,25-29,105
0801903071,30-34,110
0801903071,35-39,122
0801903071,40-44,114
0801903071,45-49,97
0801903071,50-54,98
0801903071,55-59,93
0801903071,60-64,82
0801903071,65-69,54
0801903071,70-74,44
0801903071,75-79,55
0801903071,80-84,47
0801903071,85-89,31
0801903071,90-94,18
0801903071,95-99,3
0801903071,100,0
0801903072,0-4,41
0801903072,5-9,46
0801903072,10-14,59
0801903072,15-19,51
0801903072,20-24,56
0801903072,25-29,104
0801903072,30-34,111
0801903072,35-39,106
0801903072,40-44,112
0801903072,45-49,100
0801903072,50-54,102
0801903072,55-59,79
0801903072,60-64,97
0801903072,65-69,77
0801903072,70-74,74
0801903072,75-79,58
0801903072,80-84,29
0801903072,85-89,26
0801903072,90-94,20
0801903072,95-99,4
0801903072,100,1
0801903073,0-4,46
0801903073,5-9,59
0801903073,10-14,57
0801903073,15-19,57
0801903073,20-24,63
0801903073,25-29,109
0801903073,30-34,121
0801903073,35-39,134
0801903073,40-44,124
0801903073,45-49,103
0801903073,50-54,85
0801903073,55-59,103
0801903073,60-64,117
0801903073,65-69,130
0801903073,70-74,97
0801903073,75-79,64
0801903073,80-84,33
0801903073,85-89,34
0801903073,90-94,29
0801903073,95-99,4
0801903073,100,0
0801903074,0-4,51
0801903074,5-9,59
0801903074,10-14,82
0801903074,15-19,78
0801903074,20-24,70
0801903074,25-29,110
0801903074,30-34,147
0801903074,35-39,119
0801903074,40-44,161
0801903074,45-49,144
0801903074,50-54,152
0801903074,55-59,105
0801903074,60-64,93
0801903074,65-69,87
0801903074,70-74,104
0801903074,75-79,95
0801903074,80-84,50
0801903074,85-89,49
0801903074,90-94,23
0801903074,95-99,6
0801903074,100,0
0801903075,0-4,76
0801903075,5-9,69
0801903075,10-14,60
0801903075,15-19,90
0801903075,20-24,92
0801903075,25-29,108
0801903075,30-34,143
0801903075,35-39,132
0801903075,40-44,135
0801903075,45-49,131
0801903075,50-54,107
0801903075,55-59,116
0801903075,60-64,123
0801903075,65-69,105
0801903075,70-74,88
0801903075,75-79,74
0801903075,80-84,39
0801903075,85-89,42
0801903075,90-94,23
0801903075,95-99,4
0801903075,100,0
0801903076,0-4,36
0801903076,5-9,34
0801903076,10-14,37
0801903076,15-19,29
0801903076,20-24,48
0801903076,25-29,66
0801903076,30-34,83
0801903076,35-39,77
0801903076,40-44,77
0801903076,45-49,68
0801903076,50-54,68
0801903076,55-59,70
0801903076,60-64,61
0801903076,65-69,65
0801903076,70-74,64
0801903076,75-79,65
0801903076,80-84,53
0801903076,85-89,31
0801903076,90-94,20
0801903076,95-99,2
0801903076,100,1
0801903077,0-4,34
0801903077,5-9,57
0801903077,10-14,48
0801903077,15-19,57
0801903077,20-24,80
0801903077,25-29,104
0801903077,30-34,125
0801903077,35-39,91
0801903077,40-44,103
0801903077,45-49,89
0801903077,50-54,91
0801903077,55-59,89
0801903077,60-64,88
0801903077,65-69,75
0801903077,70-74,68
0801903077,75-79,74
0801903077,80-84,46
0801903077,85-89,31
0801903077,90-94,24
0801903077,95-99,3
0801903077,100,2
0801903078,0-4,51
0801903078,5-9,70
0801903078,10-14,63
0801903078,15-19,77
0801903078,20-24,90
0801903078,25-29,150
0801903078,30-34,164
0801903078,35-39,133
0801903078,40-44,142
0801903078,45-49,139
0801903078,50-54,94
0801903078,55-59,117
0801903078,60-64,117
0801903078,65-69,89
0801903078,70-74,79
0801903078,75-79,59
0801903078,80-84,44
0801903078,85-89,32
0801903078,90-94,15
0801903078,95-99,4
0801903078,100,0
0801903079,0-4,62
0801903079,5-9,58
0801903079,10-14,83
0801903079,15-19,82
0801903079,20-24,86
0801903079,25-29,149
0801903079,30-34,156
0801903079,35-39,148
0801903079,40-44,157
0801903079,45-49,129
0801903079,50-54,113
0801903079,55-59,120
0801903079,60-64,126
0801903079,65-69,83
0801903079,70-74,64
0801903079,75-79,57
0801903079,80-84,47
0801903079,85-89,30
0801903079,90-94,23
0801903079,95-99,11
0801903079,100,0
0801903080,0-4,51
0801903080,5-9,39
0801903080,10-14,42
0801903080,15-19,56
0801903080,20-24,79
0801903080,25-29,111
0801903080,30-34,128
0801903080,35-39,113
0801903080,40-44,85
0801903080,45-49,110
0801903080,50-54,92
0801903080,55-59,108
0801903080,60-64,86
0801903080,65-69,108
0801903080,70-74,80
0801903080,75-79,85
0801903080,80-84,48
0801903080,85-89,41
0801903080,90-94,21
0801903080,95-99,7
0801903080,100,0
0801903081,0-4,51
0801903081,5-9,55
0801903081,10-14,76
0801903081,15-19,79
0801903081,20-24,134
0801903081,25-29,141
0801903081,30-34,132
0801903081,35-39,125
0801903081,40-44,127
0801903081,45-49,127
0801903081,50-54,134
0801903081,55-59,144
0801903081,60-64,124
0801903081,65-69,137
0801903081,70-74,103
0801903081,75-79,65
0801903081,80-84,63
0801903081,85-89,57
0801903081,90-94,28
0801903081,95-99,8
0801903081,100,0
0801903082,0-4,49
0801903082,5-9,71
0801903082,10-14,70
0801903082,15-19,75
0801903082,20-24,102
0801903082,25-29,114
0801903082,30-34,160
0801903082,35-39,132
0801903082,40-44,152
0801903082,45-49,125
0801903082,50-54,129
0801903082,55-59,134
0801903082,60-64,122
0801903082,65-69,112
0801903082,70-74,86
0801903082,75-79,91
0801903082,80-84,58
0801903082,85-89,44
0801903082,90-94,29
0801903082,95-99,5
0801903082,100,2
0801903083,0-4,55
0801903083,5-9,52
0801903083,10-14,36
0801903083,15-19,43
0801903083,20-24,64
0801903083,25-29,86
0801903083,30-34,111
0801903083,35-39,103
0801903083,40-44,116
0801903083,45-49,97
0801903083,50-54,64
0801903083,55-59,66
0801903083,60-64,116
0801903083,65-69,107
0801903083,70-74,93
0801903083,75-79,58
0801903083,80-84,42
0801903083,85-89,31
0801903083,90-94,17
0801903083,95-99,2
0801903083,100,1
0801903084,0-4,44
0801903084,5-9,53
0801903084,10-14,45
0801903084,15-19,51
0801903084,20-24,69
0801903084,25-29,71
0801903084,30-34,95
